,dt,visibility,pop,dt_txt,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.sea_level,main.grnd_level,main.humidity,main.temp_kf,clouds.all,wind.speed,wind.deg,wind.gust,rain.3h,sys.pod,mainweather.id,mainweather.main,mainweather.description,mainweather.icon,id,name,country,population,timezone,sunrise,sunset,coord.lat,coord.lon
0,1667304000,10000,0.39,2022-11-01 12:00:00,16.39,15.96,16.39,16.72,1015,1015,1015,72,-0.33,54,10.23,214,16.2,0.38,d,500,Rain,light rain,10d,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667314800,10000,1.0,2022-11-01 15:00:00,15.95,15.56,15.06,15.95,1015,1015,1015,75,0.89,68,9.4,219,15.12,1.38,d,500,Rain,light rain,10d,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667325600,10000,1.0,2022-11-01 18:00:00,14.13,13.61,13.0,14.13,1016,1016,1016,77,1.13,55,8.68,224,14.2,0.87,n,500,Rain,light rain,10n,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667336400,10000,0.07,2022-11-01 21:00:00,11.6,10.8,11.6,11.6,1019,1019,1019,76,0.0,4,8.23,235,13.56,,n,800,Clear,clear sky,01n,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667347200,10000,0.15,2022-11-02 00:00:00,10.9,10.11,10.9,10.9,1020,1020,1020,79,0.0,19,6.97,239,11.47,,n,801,Clouds,few clouds,02n,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667358000,10000,0.08,2022-11-02 03:00:00,9.34,6.87,9.34,9.34,1021,1021,1021,87,0.0,32,4.73,227,9.15,,n,802,Clouds,scattered clouds,03n,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667368800,10000,0.0,2022-11-02 06:00:00,8.74,6.47,8.74,8.74,1022,1022,1022,89,0.0,17,3.96,209,7.36,,n,801,Clouds,few clouds,02n,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667379600,10000,0.0,2022-11-02 09:00:00,11.07,10.35,11.07,11.07,1022,1022,1022,81,0.0,25,5.12,181,9.42,,d,802,Clouds,scattered clouds,03d,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667390400,10000,0.0,2022-11-02 12:00:00,15.08,14.34,15.08,15.08,1020,1020,1020,65,0.0,62,7.83,200,11.76,,d,803,Clouds,broken clouds,04d,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667401200,10000,0.0,2022-11-02 15:00:00,15.82,15.21,15.82,15.82,1017,1017,1017,67,0.0,96,8.87,198,13.89,,d,804,Clouds,overcast clouds,04d,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667412000,10000,0.0,2022-11-02 18:00:00,14.25,13.69,14.25,14.25,1016,1016,1016,75,0.0,98,8.94,201,14.64,,n,804,Clouds,overcast clouds,04n,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667422800,10000,0.02,2022-11-02 21:00:00,14.02,13.62,14.02,14.02,1014,1014,1014,82,0.0,100,9.16,201,15.86,,n,804,Clouds,overcast clouds,04n,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667433600,10000,0.37,2022-11-03 00:00:00,14.22,13.92,14.22,14.22,1013,1013,1013,85,0.0,100,8.27,205,13.89,0.76,n,500,Rain,light rain,10n,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667444400,10000,1.0,2022-11-03 03:00:00,13.49,13.19,13.49,13.49,1011,1011,1011,88,0.0,100,7.7,214,14.09,1.25,n,500,Rain,light rain,10n,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667455200,10000,1.0,2022-11-03 06:00:00,12.25,11.96,12.25,12.25,1009,1009,1009,93,0.0,100,4.98,205,9.31,1.41,n,500,Rain,light rain,10n,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667466000,10000,1.0,2022-11-03 09:00:00,12.34,11.98,12.34,12.34,1008,1008,1008,90,0.0,100,5.85,198,11.41,1.43,d,500,Rain,light rain,10d,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667476800,8798,1.0,2022-11-03 12:00:00,13.21,12.86,13.21,13.21,1005,1005,1005,87,0.0,100,5.66,231,8.48,1.73,d,500,Rain,light rain,10d,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667487600,10000,1.0,2022-11-03 15:00:00,12.28,11.63,12.28,12.28,1006,1006,1006,79,0.0,100,7.64,278,11.33,2.22,d,500,Rain,light rain,10d,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667498400,10000,1.0,2022-11-03 18:00:00,10.87,10.05,10.87,10.87,1008,1008,1008,78,0.0,78,7.62,258,12.53,0.4,n,500,Rain,light rain,10n,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667509200,10000,0.43,2022-11-03 21:00:00,9.91,6.62,9.91,9.91,1008,1008,1008,86,0.0,36,7.75,234,13.12,0.3,n,500,Rain,light rain,10n,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667520000,10000,0.47,2022-11-04 00:00:00,11.02,10.34,11.02,11.02,1007,1007,1007,83,0.0,60,9.13,242,14.09,0.31,n,500,Rain,light rain,10n,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667530800,10000,0.55,2022-11-04 03:00:00,10.89,10.2,10.89,10.89,1006,1006,1006,83,0.0,100,10.79,251,15.7,1.15,n,500,Rain,light rain,10n,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667541600,10000,0.95,2022-11-04 06:00:00,10.69,9.93,10.69,10.69,1005,1005,1005,81,0.0,99,9.51,279,14.21,2.62,n,500,Rain,light rain,10n,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667552400,10000,0.9,2022-11-04 09:00:00,11.55,10.75,11.55,11.55,1009,1009,1009,76,0.0,77,8.53,336,12.62,2.41,d,500,Rain,light rain,10d,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667563200,10000,0.93,2022-11-04 12:00:00,13.5,12.66,13.5,13.5,1012,1012,1012,67,0.0,47,8.67,331,12.24,0.46,d,500,Rain,light rain,10d,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
0,1667574000,10000,0.0,2022-11-04 15:00:00,12.7,11.78,12.7,12.7,1015,1015,1015,67,0.0,20,7.91,341,10.84,,d,801,Clouds,few clouds,02d,6435453,Huisnes-sur-Mer,FR,0,3600,1667285522,1667321226,48.636,-1.5115
