,url_hotel,description_hotel,score_hotel,coordinates_hotel,adresse_hotel,children_hotel,animals_hotel,hotel_index,lat,lon
0,https://www.booking.com/hotel/fr/une-terrasse-sur-la-mer-cassis.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaBWIAQGYAQ24ARjIAQzYAQHoAQH4AQOIAgGoAgS4AovQmZsGwAIB0gIkNmQzYTJhN2MtYjU5OC00YzkwLTg3M2ItMGEzY2NmODBmMjk32AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=361b60450e6701e7&srepoch=1667655692&from_beach_sr=1&beach_sr_walking_distance=115&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement UNE TERRASSE SUR LA MER 3 pers 2 chambres VUE MER!  pour économiser.Situé à Cassis, à seulement 400 mètres de Bestouan, l'établissement UNE TERRASSE SUR LA MER 3 Chambre 2 Personnes L'EVI MER propose un hébergement en bord de mer avec une terrasse et une connexion Wi-Fi gratuite. Il est situé à 1,1 km de la Grande Mer et dispose d'un bureau d'excursions.Cet appartement comprend 2 chambres, une salle de bains, du linge de lit, des serviettes, une télévision à écran plat, un coin repas, une cuisine entièrement équipée et un balcon avec vue sur la mer. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.Un service de location de vélos est assuré sur place pour vous permettre de partir en randonnée dans les environs.Vous séjournerez à 1,6 km de la plage de l'Anse de Corton et à 20 km du stade Orange Vélodrome. L'aéroport le plus proche, celui de Marseille-Provence, est situé à 49 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires. ","['8,5']","43.21407197,5.53062182","9 Avenue Maurice Jermini, 13260 Cassis, France",None,Les clients doivent éviter de faire du bruit entre 22h00 et 7h00.,0,43.21407197,5.53062182
0,https://www.booking.com/hotel/fr/antinea-cassis12.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaBWIAQGYAQ24ARjIAQzYAQHoAQH4AQOIAgGoAgS4AovQmZsGwAIB0gIkNmQzYTJhN2MtYjU5OC00YzkwLTg3M2ItMGEzY2NmODBmMjk32AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=361b60450e6701e7&srepoch=1667655692&from_beach_sr=1&beach_sr_walking_distance=874&from=searchresults#hotelTmpl,"Située à Cassis, à seulement 1,1 km de la Grande Mer, la Villa ANTINEA propose une escapade avec un casino, une piscine extérieure, une connexion Wi-Fi gratuite et un centre d'affaires. Cette villa dispose d'une piscine privée, d'un jardin et d'un parking privé gratuit.La villa comprend 6 chambres, 7 salles de bains, du linge de lit, des serviettes, une télévision par satellite à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur la piscine. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.Une aire de jeux pour enfants est à votre disposition sur place. La Villa ANTINEA assure des services de location de vélos et de voitures.Vous séjournerez à 1,5 km de la plage de l'Anse de Corton et de Bestouan. L'aéroport le plus proche, celui de Marseille Provence, est situé à 47 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires. ","['7,0']","43.22024010,5.54246930","2 Avenue Auguste Favier, 13260 Cassis, France",None,Les clients doivent éviter de faire du bruit entre 22h00 et 7h00.,1,43.22024010,5.54246930
0,https://www.booking.com/hotel/fr/le-reve-bleu-cassis.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaBWIAQGYAQ24ARjIAQzYAQHoAQH4AQOIAgGoAgS4AovQmZsGwAIB0gIkNmQzYTJhN2MtYjU5OC00YzkwLTg3M2ItMGEzY2NmODBmMjk32AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=361b60450e6701e7&srepoch=1667655692&from_beach_sr=1&beach_sr_walking_distance=863&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Situé à Cassis, à 1,1 km de la Grande Mer et à 1,4 km de Bestouan, l'établissement LE REVE BLEU propose un casino et la climatisation. Cette villa dispose d'une piscine privée, d'un jardin, d'un barbecue, ainsi que d'une connexion Wi-Fi et d'un parking privé gratuits.La villa comprend 4 chambres, 2 salles de bains, du linge de lit, des serviettes, une télévision par satellite à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur la piscine.Vous pourrez faire de la randonnée et de la plongée avec tuba dans les environs ou profiter de la piscine extérieure ouverte toute l'année.Vous séjournerez à 1,6 km de la plage de l'Anse de Corton et à 19 km du stade Orange Vélodrome. L'aéroport de Marseille-Provence, le plus proche, est implanté à 48 km. ","['8,6']","43.22062430,5.54076700","28 Avenue Jules Ferry, 13260 Cassis, France",None,Les clients doivent éviter de faire du bruit entre 22h00 et 7h00.,2,43.22062430,5.54076700
0,https://www.booking.com/hotel/fr/le-chemin-de-belle-fille.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaBWIAQGYAQ24ARjIAQzYAQHoAQH4AQOIAgGoAgS4AovQmZsGwAIB0gIkNmQzYTJhN2MtYjU5OC00YzkwLTg3M2ItMGEzY2NmODBmMjk32AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=361b60450e6701e7&srepoch=1667655692&from_beach_sr=1&beach_sr_walking_distance=776&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Situé à Cassis, l'établissement Le chemin de belle fille dispose d'une piscine, d'un salon commun, d'un jardin et d'une connexion Wi-Fi gratuite.Certains logements comprennent une cuisine équipée d'un lave-vaisselle, d'un micro-ondes et d'un four.Cette chambre d'hôtes sert un petit-déjeuner continental.Une terrasse bien exposée est présente.Vous séjournerez à proximité de la Grande Mer, de la plage de l'Anse de Corton et de l'Arene. L'aéroport de Marseille-Provence, le plus proche, est implanté à 54 km. ","['7,4']","43.21641033,5.55070017","3 Route Pierre Imbert, 13260 Cassis, France",Les enfants ne sont pas autorisés.,Les animaux de compagnie ne sont pas admis au sein de l'établissement. ,3,43.21641033,5.55070017
0,https://www.booking.com/hotel/fr/home-cassis-maison-julou.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaBWIAQGYAQ24ARjIAQzYAQHoAQH4AQOIAgGoAgS4AovQmZsGwAIB0gIkNmQzYTJhN2MtYjU5OC00YzkwLTg3M2ItMGEzY2NmODBmMjk32AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=361b60450e6701e7&srepoch=1667655692&from_beach_sr=1&beach_sr_walking_distance=981&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Offrant une vue sur le jardin, le Home Cassis - Maison Julou - Piscine chauffée est situé à Cassis, à 1,4 km de Bestouan. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé.Les logements comprennent la climatisation, une télévision à écran plat ainsi qu'une salle de bains privative pourvue d'une douche et d'un sèche-cheveux. Un micro-ondes, un réfrigérateur, des plaques de cuisson, une bouilloire et une machine à café sont également fournis.Une terrasse bien exposée est présente.Vous pourrez vous baigner dans la piscine extérieure, vous détendre dans le jardin ou partir en randonnée dans les environs.Vous séjournerez à 1,4 km de la Grande Mer et à 1,9 km de la plage de l'Anse de Corton. L'aéroport de Marseille-Provence, le plus proche, est implanté à 48 km. ","['7,6']","43.22207969,5.53792695","23 Avenue de la Marne, 13260 Cassis, France",Tous les enfants sont les bienvenus.,Les animaux de compagnie ne sont pas admis au sein de l'établissement. ,4,43.22207969,5.53792695
0,https://www.booking.com/hotel/fr/appartement-cosy-a-10-metres-du-port-de-cassis.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaBWIAQGYAQ24ARjIAQzYAQHoAQH4AQOIAgGoAgS4AovQmZsGwAIB0gIkNmQzYTJhN2MtYjU5OC00YzkwLTg3M2ItMGEzY2NmODBmMjk32AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=361b60450e6701e7&srepoch=1667655692&from_beach_sr=1&beach_sr_walking_distance=234&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement appartement cosy à 10 mètres du port de Cassis!  pour économiser.Situé à Cassis, à 400 mètres de la Grande Mer et à 600 mètres du Bestouan, l'appartement cosy à 10 mètres du port de Cassis propose une connexion Wi-Fi gratuite et la climatisation. Offrant une vue sur la ville, il se trouve à 1 km de la plage de l'Anse de Corton et à 19 km du stade Orange Vélodrome.Cet appartement comprend une chambre, un salon, une télévision à écran plat, une cuisine équipée avec un coin repas ainsi qu'une salle de bains pourvue d'une douche et d'un lave-linge. Les serviettes et le linge de lit sont fournis.Vous pourrez pratiquer la randonnée, le vélo et la pêche dans les environs. Un casino est à votre disposition sur place.Vous séjournerez à 20 km de la station de métro Rond-Point du Prado et du parc des expositions Marseille Chanot. L'aéroport le plus proche, celui de Marseille Provence, 48 km de l'appartement cosy à 10 mètres du port de Cassis. ","['8,3']","43.21533507,5.53686093","6 Rue Bremond, 13260 Cassis, France",Tous les enfants sont les bienvenus.,,5,43.21533507,5.53686093
0,https://www.booking.com/hotel/fr/le-grand-bleu-cassis1.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaBWIAQGYAQ24ARjIAQzYAQHoAQH4AQOIAgGoAgS4AovQmZsGwAIB0gIkNmQzYTJhN2MtYjU5OC00YzkwLTg3M2ItMGEzY2NmODBmMjk32AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=361b60450e6701e7&srepoch=1667655692&from_beach_sr=1&beach_sr_walking_distance=926&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Cassis, le Grand Bleu, triplex vue mer, port plage 10mn à pieds!  pour économiser.Situé à Cassis, l’hébergement Cassis, le Grand Bleu, triplex vue mer, port plage 10mn à pieds bénéficie d’un balcon, de la climatisation et d’un jardin. La plage de la Grande Mer vous attend à moins de 1 km, et un parking privé est disponible gratuitement sur place.Cet appartement comprend 3 chambres, une télévision à écran plat, un lave-linge et 2 salles de bains pourvues d’une douche. Sa cuisine équipée dispose d’un micro-ondes et d’un lave-vaisselle.Lors de votre séjour, vous pourrez profiter d’une terrasse.Le Grand Bleu se trouve à 1,1 km de la plage de l’Anse de Corton et à 1,2 km de celle du Bestouan. L’aéroport Marseille-Provence, le plus proche, est implanté à 49 km. ","['9,0']","43.22080450,5.54229625","3 Avenue Auguste Favier, 13260 Cassis, France",None,Les clients doivent éviter de faire du bruit entre 22h00 et 8h00.,6,43.22080450,5.54229625
0,https://www.booking.com/hotel/fr/le-cleli.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaBWIAQGYAQ24ARjIAQzYAQHoAQH4AQOIAgGoAgS4AovQmZsGwAIB0gIkNmQzYTJhN2MtYjU5OC00YzkwLTg3M2ItMGEzY2NmODBmMjk32AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=361b60450e6701e7&srepoch=1667655692&from_beach_sr=1&beach_sr_walking_distance=303&from=searchresults#hotelTmpl,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Cleli!  pour économiser.Situé à Cassis, à moins de 500 mètres de la Grande Mer et à moins de 1 km de la plage de l'Anse de Corton, l'établissement Le Cleli propose des hébergements avec une connexion Wi-Fi gratuite, la climatisation et un casino. Doté d'un parking privé, l'appartement se trouve à moins de 1 km de Bestouan.Cet appartement comprend 2 chambres, une télévision par câble à écran plat, un lave-linge et une salle de bains pourvue d'une baignoire. Sa cuisine est équipée d'un micro-ondes et d'un lave-vaisselle. Les serviettes et le linge de lit sont fournis.Vous pourrez faire de la randonnée dans les environs.Le Cleli se trouve à 20 km du stade Orange Vélodrome et de la station de métro Rond-Point du Prado. L'aéroport de Marseille-Provence, le plus proche, est implanté à 49 km. ","['8,1']","43.21509805,5.54048743","11 Rue de la Ciotat, 13260 Cassis, France",None,None,7,43.21509805,5.54048743
0,https://www.booking.com/hotel/fr/la-falaise-paradis-vue-mer-180deg.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaBWIAQGYAQ24ARjIAQzYAQHoAQH4AQOIAgGoAgS4AovQmZsGwAIB0gIkNmQzYTJhN2MtYjU5OC00YzkwLTg3M2ItMGEzY2NmODBmMjk32AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=361b60450e6701e7&srepoch=1667655692&from_beach_sr=1&beach_sr_walking_distance=516&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement LA FALAISE PARADIS Vue mer 180°!  pour économiser.L'établissement LA FALAISE PARADIS Vue mer 180° est situé en bord de mer à Cassis, à 1,1 km de la plage de l'Anse de Corton et à 1,4 km de l'Arene. Cet hébergement climatisé se trouve à moins de 1 km de la Grande Mer. Vous bénéficierez d'un parking privé sur place et d'une connexion Wi-Fi gratuite.Cet appartement comprend une chambre, une télévision par satellite à écran plat, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un micro-ondes et d'un lave-vaisselle. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.Un barbecue est à votre disposition sur place. L'établissement assure des services de location de vélos et de voitures.Vous séjournerez à 19 km du stade Orange Vélodrome et à 20 km de la station de métro Rond-Point du Prado. L'aéroport le plus proche, celui de Marseille Provence, est situé à 48 km. Un service de navette aéroport est assuré moyennant des frais supplémentaires. ","['7,7']","43.21529502,5.54623054","3 Avenue de Provence, 13260 Cassis, France",None,Les animaux de compagnie ne sont pas admis au sein de l'établissement. ,8,43.21529502,5.54623054
0,https://www.booking.com/hotel/fr/lou-cigalou-cassis.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaBWIAQGYAQ24ARjIAQzYAQHoAQH4AQOIAgGoAgS4AovQmZsGwAIB0gIkNmQzYTJhN2MtYjU5OC00YzkwLTg3M2ItMGEzY2NmODBmMjk32AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=361b60450e6701e7&srepoch=1667655692&from_beach_sr=1&beach_sr_walking_distance=205&from=searchresults#hotelTmpl,"Offrant une vue sur le jardin, le LOU CIGALOU propose un hébergement avec un balcon et une bouilloire, à moins de 1 km de la Grande Mer. Cet hébergement climatisé se trouve à 200 mètres de Bestouan. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé sur place.Cette maison de vacances comprend 3 chambres, une télévision à écran plat, un lave-linge et 2 salles de bains pourvues d'une douche. Sa cuisine est équipée d'un lave-vaisselle et d'un micro-ondes.Une aire de jeux pour enfants est présente sur place. Un service de location de vélos est assuré sur place. Vous pourrez pratiquer la randonnée et la pêche dans les environs.Vous séjournerez à 1,3 km de la plage de l'Anse de Corton et à 20 km du stade Orange Vélodrome. L'aéroport le plus proche, celui de Marseille Provence, est situé à 49 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires. ","['9,0']","43.21492600,5.53298900","Parc Maraveyre 6 avenue Maurice Jerminy, 13260 Cassis, France",None,Les animaux de compagnie ne sont pas admis au sein de l'établissement. ,9,43.21492600,5.53298900
